transaction_id,customer_id,transaction_date,customer_age,customer_location,quantity,unit_price,total_amount,payment_method,shipping_speed,customer_history_orders,discount_applied,discount_percentage,shipping_cost,delivery_time_days,refund_requested,velocity_flag,geolocation_mismatch,device_fingerprint_new,involves_counterfeit
TXN_957334,CUST_11907,2024-10-12 03:52:13,22,JP,1,199.66,199.66,Debit Card,Express,17,False,0.0,5.39,26,False,False,False,False,False
TXN_246397,CUST_27641,2024-08-18 00:36:57,62,DE,4,116.01,464.03,PayPal,Express,36,False,0.0,8.18,25,False,False,False,False,False
TXN_403072,CUST_78628,2024-08-19 22:21:30,75,DE,1,42.04,42.04,Credit Card,Priority,21,False,0.0,8.61,27,False,False,False,False,False
TXN_848560,CUST_98579,2025-04-16 18:49:39,56,BR,3,147.69,443.08,Credit Card,Standard,14,True,48.7,17.0,26,False,False,False,False,False
TXN_270817,CUST_67519,2024-10-06 13:30:52,19,IN,4,40.7,162.8,PayPal,Priority,48,False,0.0,20.53,1,False,False,True,False,False
TXN_235574,CUST_76740,2024-07-14 20:02:30,30,IN,3,298.04,894.11,Debit Card,Express,46,True,40.5,17.06,4,False,False,False,False,False
TXN_539896,CUST_25980,2025-03-22 14:34:20,67,US,1,52.95,52.95,PayPal,Express,38,True,30.4,8.19,15,False,False,False,False,False
TXN_831689,CUST_71988,2024-09-28 05:25:30,25,IN,1,81.4,81.4,Credit Card,Express,16,True,39.0,12.74,14,False,False,False,False,False
TXN_743257,CUST_72363,2024-09-27 13:10:51,66,US,1,79.57,79.57,PayPal,Standard,24,False,0.0,7.93,13,False,False,False,False,False
TXN_379872,CUST_86291,2024-10-31 01:46:18,78,IN,1,193.72,193.72,PayPal,Standard,19,True,27.6,21.37,19,False,False,False,False,False
TXN_486623,CUST_17742,2024-07-22 19:50:55,46,AU,3,230.89,692.68,Apple Pay,Express,25,False,0.0,15.94,23,False,False,False,False,False
TXN_985504,CUST_93004,2024-12-15 10:38:31,32,AU,4,22.09,88.37,Credit Card,Economy,3,False,0.0,6.46,25,False,False,True,True,True
TXN_585652,CUST_59910,2024-11-22 17:16:41,60,BR,2,31.24,62.48,Credit Card,Priority,13,True,44.9,8.26,28,False,False,False,True,False
TXN_787216,CUST_75661,2025-03-19 07:41:56,27,CA,1,220.03,220.03,PayPal,Express,46,False,0.0,19.31,2,False,False,False,False,False
TXN_592589,CUST_71286,2025-01-05 05:50:38,77,MX,4,202.54,810.14,Debit Card,Express,4,False,0.0,8.66,11,False,False,False,False,False
TXN_130080,CUST_92668,2025-04-28 01:22:41,38,CA,3,112.59,337.77,Apple Pay,Standard,25,True,45.5,8.46,24,False,False,False,False,False
TXN_486096,CUST_71393,2025-04-29 20:36:09,18,AU,9,40.92,368.27,PayPal,Economy,2,False,0.0,18.82,4,False,False,False,True,True
TXN_127575,CUST_92335,2025-07-01 10:20:25,36,US,4,132.26,529.02,Credit Card,Priority,4,False,0.0,5.69,8,False,False,False,False,False
TXN_291606,CUST_70484,2024-08-29 21:33:59,78,DE,2,225.77,451.54,Credit Card,Priority,35,False,0.0,19.57,4,False,False,False,False,False
TXN_641751,CUST_21818,2024-11-25 19:15:27,38,IN,2,245.57,491.14,Credit Card,Express,18,True,47.7,9.07,16,False,False,False,False,False
TXN_933760,CUST_22050,2024-07-29 21:12:46,37,BR,4,206.67,826.67,Apple Pay,Priority,46,True,46.6,21.29,26,False,False,True,False,False
TXN_355758,CUST_18163,2025-05-22 13:09:09,35,GB,3,138.07,414.22,PayPal,Express,29,False,0.0,14.38,25,False,False,True,False,False
TXN_156896,CUST_67828,2024-07-25 18:31:44,58,MX,3,197.67,593.0,Credit Card,Express,11,False,0.0,15.62,23,False,False,True,False,False
TXN_256701,CUST_66796,2025-01-04 17:22:23,58,IN,3,227.61,682.83,Debit Card,Standard,26,False,0.0,22.53,17,False,False,False,False,False
TXN_580612,CUST_73423,2025-06-01 04:39:01,48,US,11,53.38,587.18,Cryptocurrency,Economy,2,False,0.0,15.51,17,False,False,False,True,True
TXN_644155,CUST_41199,2025-04-10 01:22:46,21,GB,8,10.46,83.67,Wire Transfer,Standard,0,False,0.0,6.16,16,True,True,False,True,True
TXN_186177,CUST_61231,2025-05-05 13:12:11,61,JP,2,90.91,181.83,Debit Card,Express,36,True,12.4,24.12,6,False,False,False,False,False
TXN_658500,CUST_65427,2024-09-11 21:00:19,62,AU,2,90.63,181.25,Apple Pay,Priority,8,True,46.8,9.93,11,False,False,False,False,False
TXN_926575,CUST_54774,2025-03-11 03:11:15,48,BR,8,37.75,302.02,Wire Transfer,Standard,1,False,0.0,8.14,12,False,False,False,True,True
TXN_364031,CUST_22756,2025-04-19 06:59:30,33,GB,18,11.68,210.26,PayPal,Economy,1,False,0.0,9.79,15,False,False,True,False,True
TXN_311519,CUST_51094,2025-02-10 09:36:58,69,US,3,244.35,733.05,PayPal,Priority,46,True,34.6,20.89,22,True,False,False,False,False
TXN_111974,CUST_39171,2024-09-08 15:11:04,52,JP,3,281.74,845.22,Debit Card,Priority,16,True,24.4,10.1,17,False,False,False,True,False
TXN_660805,CUST_62181,2024-09-23 03:02:58,67,GB,3,31.74,95.21,Apple Pay,Express,44,False,0.0,14.18,22,False,False,False,False,False
TXN_372848,CUST_68700,2025-06-19 01:34:50,73,CA,2,120.12,240.23,Credit Card,Express,40,False,0.0,12.79,10,False,False,True,False,False
TXN_650075,CUST_76836,2025-04-09 17:34:54,52,AU,2,179.28,358.55,Debit Card,Standard,25,True,42.3,16.07,6,False,False,False,False,False
TXN_628291,CUST_69246,2025-04-29 08:48:08,18,IN,2,237.18,474.35,PayPal,Standard,18,False,0.0,24.33,11,False,False,False,False,False
TXN_519581,CUST_19767,2025-01-14 01:09:11,47,MX,14,27.55,385.64,Cryptocurrency,Economy,1,False,0.0,17.77,15,False,False,False,False,True
